dates;log Q simule;P simule
2017-07-05;16,07347673;0,554864309
2017-07-06;16,07347673;0,560026679
2017-07-07;16,07347673;0,536259006
2017-07-08;16,07347673;0,530877632
2017-07-09;16,07347673;0,518693564
2017-07-10;16,07347673;0,483703251
2017-07-11;16,07347673;0,481082887
2017-07-12;16,07347673;0,502236157
2017-07-13;16,07347673;0,492833954
2017-07-14;16,07347673;0,472304514
2017-07-15;16,07347673;0,464571177
2017-07-16;16,07347673;0,394833134
2017-07-17;16,07347673;0,467617088
2017-07-18;16,07347673;0,485836149
2017-07-19;16,07347673;0,478580788
2017-07-20;16,07347673;0,602878443
2017-07-21;16,07347673;0,572890148
2017-07-22;16,07347673;0,579994395
2017-07-23;16,07347673;0,550284513
2017-07-24;16,07347673;0,562302723
2017-07-25;16,07347673;0,532119811
2017-07-26;16,07347673;0,523739903
2017-07-27;16,07347673;0,551552394
2017-07-28;16,07347673;0,581031331
2017-07-29;16,07347673;0,552772451
2017-07-30;16,07347673;0,55574781
2017-07-31;16,07347673;0,599046972
2017-08-01;16,07347673;0,535868751
2017-08-02;16,07347673;0,547826408
2017-08-03;16,07347673;0,567809696
2017-08-04;16,07347673;0,57027166
2017-08-05;16,13290137;0,615639829
2017-08-06;16,13290137;0,606288222
2017-08-07;16,18741801;0,613096349
2017-08-08;16,20861958;0,611828552
2017-08-09;16,20861958;0,606191136
2017-08-10;16,24490032;0,609300818
2017-08-11;16,32629847;0,60804087
2017-08-12;16,38605761;0,606783527
2017-08-13;16,41628697;0,605528784
2017-08-14;16,52736263;0,604276636
2017-08-15;16,52736263;0,595323578
2017-08-16;16,59230428;0,601780102
2017-08-17;16,59230428;0,562499894
2017-08-18;16,59230428;0,550529485
2017-08-19;16,59230428;0,537587634
2017-08-20;16,59230428;0,519802946
2017-08-21;16,59230428;0,548427235
2017-08-22;16,60637865;0,594352216
2017-08-23;16,60637865;0,589218809
2017-08-24;16,6675314;0,591896684
2017-08-25;16,70392256;0,590672725
2017-08-26;16,70392256;0,582060558
2017-08-27;16,70392256;0,521863664
2017-08-28;16,70392256;0,549164054
2017-08-29;16,70392256;0,581190071
2017-08-30;16,70392256;0,549817118
2017-08-31;16,70392256;0,574244856
2017-09-01;16,70591037;0,582175588
2017-09-02;16,70591037;0,530190984
2017-09-03;16,70591037;0,520692641
2017-09-04;16,70591037;0,496216248
2017-09-05;16,70591037;0,492822356
2017-09-06;16,70591037;0,524940895
2017-09-07;16,70591037;0,518047423
2017-09-08;16,70591037;0,474721539
2017-09-09;16,70591037;0,458603803
2017-09-10;16,70591037;0,453906929
2017-09-11;16,70591037;0,449635118
2017-09-12;16,70591037;0,44109991
2017-09-13;16,70591037;0,409229575
2017-09-14;16,70591037;0,345436739
2017-09-15;16,70591037;0,397324699
2017-09-16;16,70591037;0,388745502
2017-09-17;16,70591037;0,383840965
2017-09-18;16,70591037;0,449814634
2017-09-19;16,70591037;0,424401924
2017-09-20;16,70591037;0,424419282
2017-09-21;16,70591037;0,383647592
2017-09-22;16,70591037;0,384618145
2017-09-23;16,70591037;0,395866736
2017-09-24;16,70591037;0,383107659
2017-09-25;16,70591037;0,429780861
2017-09-26;16,70591037;0,423432727
2017-09-27;16,70591037;0,453709954
2017-09-28;16,70591037;0,443950437
2017-09-29;16,70591037;0,439132031
2017-09-30;16,70591037;0,460890632
2017-10-01;16,70591037;0,471647396
2017-10-02;16,70591037;0,4827867
2017-10-03;16,70591037;0,460803174
2017-10-04;16,70591037;0,457076426
2017-10-05;16,70591037;0,476622378
2017-10-06;16,70591037;0,469779079
2017-10-07;16,70591037;0,468001954
2017-10-08;16,70591037;0,482272797
2017-10-09;16,70591037;0,512701791
2017-10-10;16,70591037;0,515218548
2017-10-11;16,70591037;0,524258391
2017-10-12;16,8100456;0,534804949
2017-10-13;16,91437041;0,533699048
2017-10-14;16,91437041;0,53254074
2017-10-15;16,91437041;0,493394386
2017-10-16;16,91437041;0,508675349
2017-10-17;16,91437041;0,500566592
2017-10-18;16,91437041;0,498420233
2017-10-19;16,91437041;0,502524138
2017-10-20;16,91437041;0,520961156
2017-10-21;16,92582735;0,524933769
2017-10-22;16,92582735;0,513126282
2017-10-23;16,92582735;0,514227119
2017-10-24;16,92582735;0,485313675
2017-10-25;16,92582735;0,488434603
2017-10-26;16,92582735;0,496220324
2017-10-27;16,93309885;0,518454411
2017-10-28;16,96097836;0,517382321
2017-10-29;17,01453477;0,516312447
2017-10-30;17,01453477;0,514103535
2017-10-31;17,05833082;0,514179332
2017-11-01;17,12185731;0,513116082
2017-11-02;17,16087094;0,51205503
2017-11-03;17,21120734;0,510996172
2017-11-04;17,23190639;0,509939504
2017-11-05;17,23190639;0,485190949
2017-11-06;17,23190639;0,470639527
2017-11-07;17,23190639;0,484139368
2017-11-08;17,23190639;0,504976479
2017-11-09;17,23190639;0,502131743
2017-11-10;17,23190639;0,471097012
2017-11-11;17,23190639;0,493218356
2017-11-12;17,32071948;0,501564443
2017-11-13;17,33984938;0,500527278
2017-11-14;17,33984938;0,484624421
2017-11-15;17,36036392;0,498459379
2017-11-16;17,3960557;0,497428635
2017-11-17;17,3960557;0,459751234
2017-11-18;17,3960557;0,456532688
2017-11-19;17,3960557;0,452739814
2017-11-20;17,3960557;0,475276106
2017-11-21;17,3960557;0,464239926
2017-11-22;17,3960557;0,46996732
2017-11-23;17,3960557;0,455703284
2017-11-24;17,3960557;0,462866027
2017-11-25;17,3960557;0,483587895
2017-11-26;17,45046664;0,487237703
2017-11-27;17,50604101;0,486230164
